2021-09-25 19:54:36.858 [main] INFO  com.hzl.cloud.config.mybatis.DynamicDataSource - 当前线程获取的数据源null
2021-09-25 19:54:36.891 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-09-25 19:54:36.963 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.31.Final
2021-09-25 19:54:37.170 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-09-25 19:54:37.314 [main] INFO  com.hzl.cloud.config.mybatis.DynamicDataSource - 当前线程获取的数据源null
2021-09-25 19:54:37.343 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-09-25 19:54:37.616 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-09-25 19:54:37.636 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-09-25 19:54:38.174 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-25 19:54:38.178 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-25 19:54:38.301 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2021-09-25 19:54:38.305 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2021-09-25 19:54:38.312 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2021-09-25 19:54:38.314 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-09-25 19:54:38.337 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-09-25 20:02:14.815 [main] INFO  com.hzl.gateway.GatewayApplication - Starting GatewayApplication using Java 1.8.0_202 on hzldeMacBook-Pro.local with PID 87011 (/Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway/target/classes started by hzl in /Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway)
2021-09-25 20:02:14.812 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-09-25 20:02:14.818 [main] INFO  com.hzl.gateway.GatewayApplication - The following profiles are active: local
2021-09-25 20:02:16.579 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 20:02:16.580 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-09-25 20:02:16.594 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 6 ms. Found 0 JPA repository interfaces.
2021-09-25 20:02:16.607 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 20:02:16.609 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-09-25 20:02:16.620 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 1 ms. Found 0 Redis repository interfaces.
2021-09-25 20:02:16.918 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=53f98d1b-4e1a-3f60-9585-e7fa2a220ca4
2021-09-25 20:02:17.382 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-25 20:02:17.388 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-25 20:02:17.390 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-09-25 20:02:17.662 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2021-09-25 20:02:17.673 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2021-09-25 20:02:17.674 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-09-25 20:02:17.674 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-09-25 20:02:17.808 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-09-25 20:02:17.808 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2938 ms
2021-09-25 20:02:17.950 [main] INFO  c.hzl.cloud.config.mybatis.MasterDataSourceConfig - 注入主数据源
2021-09-25 20:02:18.110 [main] INFO  c.hzl.cloud.config.mybatis.MasterDataSourceConfig - 启动单数据源
2021-09-25 20:02:18.153 [main] INFO  com.hzl.cloud.config.mybatis.DynamicDataSource - 当前线程获取的数据源null
2021-09-25 20:02:18.713 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2021-09-25 20:02:18.724 [main] INFO  com.hzl.cloud.config.mybatis.DynamicDataSource - 当前线程获取的数据源null
2021-09-25 20:02:18.758 [main] INFO  org.hibernate.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2021-09-25 20:02:18.816 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.4.31.Final
2021-09-25 20:02:18.977 [main] INFO  org.hibernate.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-09-25 20:02:19.085 [main] INFO  com.hzl.cloud.config.mybatis.DynamicDataSource - 当前线程获取的数据源null
2021-09-25 20:02:19.103 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
2021-09-25 20:02:19.325 [main] INFO  o.h.e.t.jta.platform.internal.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2021-09-25 20:02:19.340 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2021-09-25 20:02:19.618 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-25 20:02:19.623 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-09-25 20:02:19.736 [main] INFO  o.s.orm.jpa.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
